"filename", "language", "Docker", "Shell Script", "Dotenv", "YAML", "Python", "pip requirements", "Markdown", "Ini", "comment", "blank", "total"
"c:\Users\Пользователь\Desktop\python\Clarity\core\exceptions.py", "Python", 0, 0, 0, 0, 89, 0, 0, 0, 1, 20, 110
"c:\Users\Пользователь\Desktop\python\Clarity\core\security.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\Пользователь\Desktop\python\Clarity\docker-compose.yaml", "YAML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\Users\Пользователь\Desktop\python\Clarity\entrypoint.sh", "Shell Script", 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 5
"c:\Users\Пользователь\Desktop\python\Clarity\main.py", "Python", 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\Пользователь\Desktop\python\Clarity\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\models\project.py", "Python", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Пользователь\Desktop\python\Clarity\models\project_invitations.py", "Python", 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\Пользователь\Desktop\python\Clarity\models\project_members.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Пользователь\Desktop\python\Clarity\models\task.py", "Python", 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\Пользователь\Desktop\python\Clarity\models\user.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\base.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\project_invitation_repository.py", "Python", 0, 0, 0, 0, 53, 0, 0, 0, 7, 8, 68
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\project_repository.py", "Python", 0, 0, 0, 0, 164, 0, 0, 0, 17, 20, 201
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\task_repository.py", "Python", 0, 0, 0, 0, 90, 0, 0, 0, 9, 12, 111
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\user_repository.py", "Python", 0, 0, 0, 0, 84, 0, 0, 0, 13, 16, 113
"c:\Users\Пользователь\Desktop\python\Clarity\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 23
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\auth.py", "Python", 0, 0, 0, 0, 15, 0, 0, 0, 1, 4, 20
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\common.py", "Python", 0, 0, 0, 0, 12, 0, 0, 0, 1, 3, 16
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\invitation.py", "Python", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\project.py", "Python", 0, 0, 0, 0, 25, 0, 0, 0, 1, 8, 34
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\task.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 1, 5, 29
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\user.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 1, 4, 16
"c:\Users\Пользователь\Desktop\python\Clarity\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\services\auth_service.py", "Python", 0, 0, 0, 0, 52, 0, 0, 0, 3, 2, 57
"c:\Users\Пользователь\Desktop\python\Clarity\services\invitation_service.py", "Python", 0, 0, 0, 0, 71, 0, 0, 0, 0, 14, 85
"c:\Users\Пользователь\Desktop\python\Clarity\services\project_members_service.py", "Python", 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"c:\Users\Пользователь\Desktop\python\Clarity\services\project_service.py", "Python", 0, 0, 0, 0, 105, 0, 0, 0, 10, 9, 124
"c:\Users\Пользователь\Desktop\python\Clarity\services\task_service.py", "Python", 0, 0, 0, 0, 92, 0, 0, 0, 8, 7, 107
"c:\Users\Пользователь\Desktop\python\Clarity\services\user_service.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 2, 2, 27
"c:\Users\Пользователь\Desktop\python\Clarity\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\conftest.py", "Python", 0, 0, 0, 0, 94, 0, 0, 0, 1, 10, 105
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_auth.py", "Python", 0, 0, 0, 0, 66, 0, 0, 0, 0, 9, 75
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_invitations.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_profile.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_projects.py", "Python", 0, 0, 0, 0, 226, 0, 0, 0, 0, 32, 258
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_tasks.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_invitation_repository.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_project_repository.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_task_repository.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_user_repository.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_auth_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_invitation_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_project_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_task_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_user_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\utils\decorators.py", "Python", 0, 0, 0, 0, 27, 0, 0, 0, 3, 1, 31
"c:\Users\Пользователь\Desktop\python\Clarity\utils\logger_setuo.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"Total", "-", 8, 4, 7, 27, 1832, 23, 655, 123, 140, 555, 3374
