"filename", "language", "Python", "Dotenv", "Ini", "Docker", "pip requirements", "Markdown", "YAML", "Shell Script", "comment", "blank", "total"
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\user_repository.py", "Python", 84, 0, 0, 0, 0, 0, 0, 0, 13, 16, 113
"c:\Users\Пользователь\Desktop\python\Clarity\requirements.txt", "pip requirements", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\auth.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\common.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 3, 16
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\invitation.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\project.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 1, 8, 34
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\task.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 1, 5, 29
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\user.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 1, 4, 16
"c:\Users\Пользователь\Desktop\python\Clarity\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\services\auth_service.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 3, 2, 57
"c:\Users\Пользователь\Desktop\python\Clarity\services\invitation_service.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 14, 85
"c:\Users\Пользователь\Desktop\python\Clarity\services\project_members_service.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\Пользователь\Desktop\python\Clarity\services\project_service.py", "Python", 105, 0, 0, 0, 0, 0, 0, 0, 10, 9, 124
"c:\Users\Пользователь\Desktop\python\Clarity\services\task_service.py", "Python", 92, 0, 0, 0, 0, 0, 0, 0, 8, 7, 107
"c:\Users\Пользователь\Desktop\python\Clarity\services\user_service.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 2, 2, 27
"c:\Users\Пользователь\Desktop\python\Clarity\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\conftest.py", "Python", 120, 0, 0, 0, 0, 0, 0, 0, 11, 11, 142
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_auth.py", "Python", 134, 0, 0, 0, 0, 0, 0, 0, 10, 16, 160
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_invitations.py", "Python", 269, 0, 0, 0, 0, 0, 0, 0, 31, 42, 342
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_profile.py", "Python", 111, 0, 0, 0, 0, 0, 0, 0, 12, 12, 135
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_projects.py", "Python", 226, 0, 0, 0, 0, 0, 0, 0, 0, 32, 258
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_tasks.py", "Python", 266, 0, 0, 0, 0, 0, 0, 0, 24, 24, 314
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_invitation_repository.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_project_repository.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_task_repository.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_user_repository.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_auth_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_invitation_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_project_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_task_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_user_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\utils\decorators.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 3, 1, 31
"c:\Users\Пользователь\Desktop\python\Clarity\utils\logger_setuo.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"Total", "-", 2572, 7, 123, 8, 23, 995, 27, 4, 227, 641, 4627
