"filename", "language", "Python", "Dotenv", "YAML", "Markdown", "Docker", "Ini", "Shell Script", "pip requirements", "comment", "blank", "total"
"c:\Users\Пользователь\Desktop\python\Clarity\core\config.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 10, 37
"c:\Users\Пользователь\Desktop\python\Clarity\core\database.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Пользователь\Desktop\python\Clarity\core\dependencies.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\Пользователь\Desktop\python\Clarity\core\exceptions.py", "Python", 89, 0, 0, 0, 0, 0, 0, 0, 1, 20, 110
"c:\Users\Пользователь\Desktop\python\Clarity\core\security.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 4, 10, 42
"c:\Users\Пользователь\Desktop\python\Clarity\docker-compose.yaml", "YAML", 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\Пользователь\Desktop\python\Clarity\entrypoint.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 5
"c:\Users\Пользователь\Desktop\python\Clarity\main.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Пользователь\Desktop\python\Clarity\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\models\project.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Пользователь\Desktop\python\Clarity\models\project_invitations.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Пользователь\Desktop\python\Clarity\models\project_members.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Пользователь\Desktop\python\Clarity\models\task.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Пользователь\Desktop\python\Clarity\models\user.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\base.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\project_invitation_repository.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 7, 8, 68
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\project_repository.py", "Python", 172, 0, 0, 0, 0, 0, 0, 0, 19, 21, 212
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\task_repository.py", "Python", 90, 0, 0, 0, 0, 0, 0, 0, 9, 12, 111
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\user_repository.py", "Python", 81, 0, 0, 0, 0, 0, 0, 0, 13, 16, 110
"c:\Users\Пользователь\Desktop\python\Clarity\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 23
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\auth.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\common.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 3, 16
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\invitation.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\project.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 1, 9, 42
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\task.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 1, 5, 29
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\user.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\Пользователь\Desktop\python\Clarity\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\services\auth_service.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 2, 4, 54
"c:\Users\Пользователь\Desktop\python\Clarity\services\invitation_service.py", "Python", 80, 0, 0, 0, 0, 0, 0, 0, 5, 19, 104
"c:\Users\Пользователь\Desktop\python\Clarity\services\project_members_service.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 1, 3, 32
"c:\Users\Пользователь\Desktop\python\Clarity\services\project_service.py", "Python", 139, 0, 0, 0, 0, 0, 0, 0, 9, 19, 167
"c:\Users\Пользователь\Desktop\python\Clarity\services\task_service.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 7, 15, 115
"c:\Users\Пользователь\Desktop\python\Clarity\services\user_service.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 2, 4, 28
"c:\Users\Пользователь\Desktop\python\Clarity\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\conftest.py", "Python", 170, 0, 0, 0, 0, 0, 0, 0, 13, 16, 199
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_auth.py", "Python", 134, 0, 0, 0, 0, 0, 0, 0, 10, 16, 160
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_invitations.py", "Python", 274, 0, 0, 0, 0, 0, 0, 0, 24, 42, 340
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_profile.py", "Python", 112, 0, 0, 0, 0, 0, 0, 0, 12, 12, 136
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_projects.py", "Python", 256, 0, 0, 0, 0, 0, 0, 0, 1, 32, 289
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_tasks.py", "Python", 266, 0, 0, 0, 0, 0, 0, 0, 20, 24, 310
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_invitation_repository.py", "Python", 115, 0, 0, 0, 0, 0, 0, 0, 13, 15, 143
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_project_repository.py", "Python", 383, 0, 0, 0, 0, 0, 0, 0, 47, 47, 477
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_task_repository.py", "Python", 172, 0, 0, 0, 0, 0, 0, 0, 20, 22, 214
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_user_repository.py", "Python", 212, 0, 0, 0, 0, 0, 0, 0, 33, 32, 277
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_auth_service.py", "Python", 148, 0, 0, 0, 0, 0, 0, 0, 13, 15, 176
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_invitation_service.py", "Python", 186, 0, 0, 0, 0, 0, 0, 0, 0, 22, 208
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_project_member_service.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 5, 10, 84
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_project_service.py", "Python", 245, 0, 0, 0, 0, 0, 0, 0, 0, 31, 276
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_task_service.py", "Python", 242, 0, 0, 0, 0, 0, 0, 0, 0, 28, 270
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_user_service.py", "Python", 75, 0, 0, 0, 0, 0, 0, 0, 0, 10, 85
"c:\Users\Пользователь\Desktop\python\Clarity\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\utils\decorators.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 3, 1, 31
"c:\Users\Пользователь\Desktop\python\Clarity\utils\logger_setuo.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"Total", "-", 4593, 7, 27, 1077, 8, 123, 4, 23, 371, 949, 7182
