Date : 2026-08-25 00:24:27
Directory : c:\Users\Пользователь\Desktop\python\Clarity
Total : 72 files,  5862 codes, 371 comments, 949 blanks, all 7182 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Пользователь\Desktop\python\Clarity\alembic\versions\cf26c315fc74_init.py                 | Python           |         11 |         10 |          8 |         29 |
| c:\Users\Пользователь\Desktop\python\Clarity\api\v1\__init__.py                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\api\v1\auth.py                                        | Python           |         20 |          3 |          8 |         31 |
| c:\Users\Пользователь\Desktop\python\Clarity\api\v1\invitations.py                                 | Python           |         41 |          5 |         12 |         58 |
| c:\Users\Пользователь\Desktop\python\Clarity\api\v1\projects.py                                    | Python           |         63 |          9 |         20 |         92 |
| c:\Users\Пользователь\Desktop\python\Clarity\api\v1\tasks.py                                       | Python           |         51 |          7 |         16 |         74 |
| c:\Users\Пользователь\Desktop\python\Clarity\api\v1\user.py                                        | Python           |         23 |          3 |          8 |         34 |
| c:\Users\Пользователь\Desktop\python\Clarity\core\__init__.py                                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\core\config.py                                        | Python           |         27 |          0 |         10 |         37 |
| c:\Users\Пользователь\Desktop\python\Clarity\core\database.py                                      | Python           |          6 |          0 |          4 |         10 |
| c:\Users\Пользователь\Desktop\python\Clarity\core\dependencies.py                                  | Python           |         33 |          0 |          7 |         40 |
| c:\Users\Пользователь\Desktop\python\Clarity\core\exceptions.py                                    | Python           |         89 |          1 |         20 |        110 |
| c:\Users\Пользователь\Desktop\python\Clarity\core\security.py                                      | Python           |         28 |          4 |         10 |         42 |
| c:\Users\Пользователь\Desktop\python\Clarity\docker-compose.yaml                                   | YAML             |         27 |          0 |          2 |         29 |
| c:\Users\Пользователь\Desktop\python\Clarity\entrypoint.sh                                         | Shell Script     |          4 |          1 |          0 |          5 |
| c:\Users\Пользователь\Desktop\python\Clarity\main.py                                               | Python           |         25 |          0 |          4 |         29 |
| c:\Users\Пользователь\Desktop\python\Clarity\models\__init__.py                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\models\project.py                                     | Python           |          9 |          0 |          2 |         11 |
| c:\Users\Пользователь\Desktop\python\Clarity\models\project_invitations.py                         | Python           |         14 |          0 |          2 |         16 |
| c:\Users\Пользователь\Desktop\python\Clarity\models\project_members.py                             | Python           |         11 |          0 |          2 |         13 |
| c:\Users\Пользователь\Desktop\python\Clarity\models\task.py                                        | Python           |         15 |          0 |          2 |         17 |
| c:\Users\Пользователь\Desktop\python\Clarity\models\user.py                                        | Python           |         11 |          0 |          2 |         13 |
| c:\Users\Пользователь\Desktop\python\Clarity\repositories\__init__.py                              | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\repositories\base.py                                  | Python           |          0 |          1 |          0 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\repositories\project_invitation_repository.py         | Python           |         53 |          7 |          8 |         68 |
| c:\Users\Пользователь\Desktop\python\Clarity\repositories\project_repository.py                    | Python           |        172 |         19 |         21 |        212 |
| c:\Users\Пользователь\Desktop\python\Clarity\repositories\task_repository.py                       | Python           |         90 |          9 |         12 |        111 |
| c:\Users\Пользователь\Desktop\python\Clarity\repositories\user_repository.py                       | Python           |         81 |         13 |         16 |        110 |
| c:\Users\Пользователь\Desktop\python\Clarity\requirements.txt                                      | pip requirements |         23 |          0 |          0 |         23 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\__init__.py                                   | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\auth.py                                       | Python           |         15 |          1 |          4 |         20 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\common.py                                     | Python           |         12 |          1 |          3 |         16 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\invitation.py                                 | Python           |         14 |          0 |          4 |         18 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\project.py                                    | Python           |         32 |          1 |          9 |         42 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\task.py                                       | Python           |         23 |          1 |          5 |         29 |
| c:\Users\Пользователь\Desktop\python\Clarity\schemas\user.py                                       | Python           |         13 |          1 |          4 |         18 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\__init__.py                                  | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\auth_service.py                              | Python           |         48 |          2 |          4 |         54 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\invitation_service.py                        | Python           |         80 |          5 |         19 |        104 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\project_members_service.py                   | Python           |         28 |          1 |          3 |         32 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\project_service.py                           | Python           |        139 |          9 |         19 |        167 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\task_service.py                              | Python           |         93 |          7 |         15 |        115 |
| c:\Users\Пользователь\Desktop\python\Clarity\services\user_service.py                              | Python           |         22 |          2 |          4 |         28 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\__init__.py                                     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\conftest.py                                     | Python           |        170 |         13 |         16 |        199 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\__init__.py                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_auth.py                           | Python           |        134 |         10 |         16 |        160 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_invitations.py                    | Python           |        274 |         24 |         42 |        340 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_profile.py                        | Python           |        112 |         12 |         12 |        136 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_projects.py                       | Python           |        256 |          1 |         32 |        289 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_tasks.py                          | Python           |        266 |         20 |         24 |        310 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\__init__.py                   | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_invitation_repository.py | Python           |        115 |         13 |         15 |        143 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_project_repository.py    | Python           |        383 |         47 |         47 |        477 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_task_repository.py       | Python           |        172 |         20 |         22 |        214 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_repositories\test_user_repository.py       | Python           |        212 |         33 |         32 |        277 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\__init__.py                       | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_auth_service.py              | Python           |        148 |         13 |         15 |        176 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_invitation_service.py        | Python           |        186 |          0 |         22 |        208 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_project_member_service.py    | Python           |         69 |          5 |         10 |         84 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_project_service.py           | Python           |        245 |          0 |         31 |        276 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_task_service.py              | Python           |        242 |          0 |         28 |        270 |
| c:\Users\Пользователь\Desktop\python\Clarity\tests\test_services\test_user_service.py              | Python           |         75 |          0 |         10 |         85 |
| c:\Users\Пользователь\Desktop\python\Clarity\utils\__init__.py                                     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Пользователь\Desktop\python\Clarity\utils\decorators.py                                   | Python           |         27 |          3 |          1 |         31 |
| c:\Users\Пользователь\Desktop\python\Clarity\utils\logger_setuo.py                                 | Python           |          0 |          1 |          0 |          1 |
| Total                                                                                              |                  |      5,862 |        371 |        949 |      7,182 |
+----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
